"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000103257",22069.0441040756,-0.0830152751261884,0.102069044910037,-0.813324697995923,0.416031920293597,0.77975892941503
"ENSG00000133433",93.7279253070013,0.206935132566782,0.254428422470954,0.813333394740541,0.416026935433429,0.77975892941503
"ENSG00000168264",1027.49519373972,0.0653952108060146,0.0804468615288428,0.812899466346096,0.416275700516738,0.779792224505589
"ENSG00000115520",264.305922788851,0.173688161472546,0.213618522073118,0.81307631841538,0.416174303100828,0.779792224505589
"ENSG00000123562",14345.6257037469,0.0506224526903497,0.0622735947970005,0.812903974073904,0.416273115848241,0.779792224505589
"ENSG00000227953",63.0756986666314,-0.296082923714624,0.364285558262058,-0.812777001446842,0.416345923812337,0.77980400033632
"ENSG00000175727",1611.47382807124,0.508891829822079,0.626260719551899,0.812587815161392,0.416454419938134,0.77980400033632
"ENSG00000162065",139.058546400959,0.176730743350316,0.217519014139789,0.812484113396818,0.416513898766998,0.77980400033632
"ENSG00000172530",928.397808649627,0.127664670721402,0.157117977697341,0.812540185358828,0.416481737702219,0.77980400033632
"ENSG00000187514",127265.268685115,-0.0500027128474868,0.0615852551531564,-0.811926697764507,0.416833694031379,0.780294110608497
